Mon:11:01:35, Humidity: 46.20, Temp: 76.84, TVOC: 8.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.54, 0.16, 0.21, 4.93
Mon:11:01:35, Humidity: 46.23, Temp: 76.82, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.31, 0.53, 0.16, 0.20, 4.90
Mon:11:01:35, Humidity: 46.23, Temp: 76.84, TVOC: 12.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.54, 0.16, 0.21, 4.93
Mon:11:01:35, Humidity: 46.23, Temp: 76.84, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:01:36, Humidity: 46.23, Temp: 76.86, TVOC: 6.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.410 ppm, 1.46, 0.43, 0.09, 0.30, 0.52, 0.16, 0.21, 4.90
Mon:11:01:40, Humidity: 46.25, Temp: 76.84, TVOC: 11.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:01:40, Humidity: 46.23, Temp: 76.80, TVOC: 9.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:01:40, Humidity: 46.23, Temp: 76.88, TVOC: 6.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:01:41, Humidity: 46.25, Temp: 76.82, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 5.00
Mon:11:01:42, Humidity: 46.24, Temp: 76.86, TVOC: 16.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.20, 4.90
Mon:11:01:45, Humidity: 46.24, Temp: 76.90, TVOC: 14.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:01:45, Humidity: 46.27, Temp: 76.86, TVOC: 13.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.46, 0.44, 0.09, 0.29, 0.52, 0.16, 0.21, 4.97
Mon:11:01:45, Humidity: 46.25, Temp: 76.86, TVOC: 2.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.47, 0.43, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:01:46, Humidity: 46.24, Temp: 76.84, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.20, 4.84
Mon:11:01:47, Humidity: 46.24, Temp: 76.84, TVOC: 10.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:01:51, Humidity: 46.26, Temp: 76.88, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.94
Mon:11:01:51, Humidity: 46.27, Temp: 76.86, TVOC: 9.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.407 ppm, 1.47, 0.43, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:01:51, Humidity: 46.28, Temp: 76.86, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.17, 0.20, 4.93
Mon:11:01:52, Humidity: 46.27, Temp: 76.88, TVOC: 7.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.407 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.93
Mon:11:01:53, Humidity: 46.27, Temp: 76.86, TVOC: 7.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.407 ppm, 1.46, 0.43, 0.09, 0.30, 0.53, 0.17, 0.21, 4.90
Mon:11:01:57, Humidity: 46.27, Temp: 76.92, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.82
Mon:11:01:57, Humidity: 46.27, Temp: 76.88, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:01:57, Humidity: 46.27, Temp: 76.84, TVOC: 6.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.407 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.20, 4.84
Mon:11:01:57, Humidity: 46.28, Temp: 76.90, TVOC: 5.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.20, 4.84
Mon:11:01:58, Humidity: 46.29, Temp: 76.88, TVOC: 14.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.409 ppm, 1.44, 0.43, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:02:02, Humidity: 46.28, Temp: 76.88, TVOC: 14.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.91
