Mon:12:46:02, Humidity: 47.72, Temp: 74.79, TVOC: 0.00 ppb, eCOtwo: 416.00 ppm, HCHO: 0.451 ppm, 1.47, 0.46, 0.08, 0.29, 0.51, 0.16, 0.20, 4.91
Mon:12:46:03, Humidity: 47.72, Temp: 74.83, TVOC: 7.00 ppb, eCOtwo: 425.00 ppm, HCHO: 0.451 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.88
Mon:12:46:05, Humidity: 47.69, Temp: 74.78, TVOC: 4.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.451 ppm, 1.47, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.87
Mon:12:46:06, Humidity: 47.68, Temp: 74.78, TVOC: 3.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.449 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.84
Mon:12:46:06, Humidity: 47.71, Temp: 74.78, TVOC: 2.00 ppb, eCOtwo: 418.00 ppm, HCHO: 0.449 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:46:07, Humidity: 47.67, Temp: 74.79, TVOC: 6.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.449 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:46:09, Humidity: 47.68, Temp: 74.76, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.448 ppm, 1.45, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.88
Mon:12:46:11, Humidity: 47.66, Temp: 74.78, TVOC: 7.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.448 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.82
Mon:12:46:11, Humidity: 47.65, Temp: 74.78, TVOC: 2.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.448 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.82
Mon:12:46:12, Humidity: 47.65, Temp: 74.76, TVOC: 9.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.448 ppm, 1.45, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.92
Mon:12:46:13, Humidity: 47.65, Temp: 74.74, TVOC: 7.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.447 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:46:14, Humidity: 47.64, Temp: 74.72, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.447 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:46:17, Humidity: 47.64, Temp: 74.72, TVOC: 3.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.447 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.84
Mon:12:46:17, Humidity: 47.62, Temp: 74.72, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.447 ppm, 1.45, 0.46, 0.08, 0.28, 0.50, 0.16, 0.20, 4.95
Mon:12:46:17, Humidity: 47.62, Temp: 74.72, TVOC: 2.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.445 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.84
