2019-05-28 17:52:38, 7, 0.26, 0.43, 0.18, 0.21, 4.92
2019-05-28 17:53:23, Humidity: 68.31, Temp: 58.67, TVOC: 27.00 ppb, eCOtwo: 614.00 ppm, HCHO: 0.017 ppm, 0.90, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.84
2019-05-28 17:53:24, Humidity: 68.29, Temp: 58.69, TVOC: 28.00 ppb, eCOtwo: 610.00 ppm, HCHO: 0.017 ppm, 0.91, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.91
2019-05-28 17:53:25, Humidity: 68.29, Temp: 58.73, TVOC: 26.00 ppb, eCOtwo: 573.00 ppm, HCHO: 0.017 ppm, 0.90, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:53:28, Humidity: 68.28, Temp: 58.69, TVOC: 30.00 ppb, eCOtwo: 522.00 ppm, HCHO: 0.017 ppm, 0.90, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.91
2019-05-28 17:53:28, Humidity: 68.28, Temp: 58.69, TVOC: 22.00 ppb, eCOtwo: 513.00 ppm, HCHO: 0.017 ppm, 0.90, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:53:29, Humidity: 68.24, Temp: 58.79, TVOC: 22.00 ppb, eCOtwo: 528.00 ppm, HCHO: 0.017 ppm, 0.90, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:53:30, Humidity: 68.25, Temp: 58.77, TVOC: 24.00 ppb, eCOtwo: 477.00 ppm, HCHO: 0.016 ppm, 0.90, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.92
2019-05-28 17:53:31, Humidity: 68.26, Temp: 58.75, TVOC: 23.00 ppb, eCOtwo: 456.00 ppm, HCHO: 0.015 ppm, 0.89, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:53:34, Humidity: 68.21, Temp: 58.77, TVOC: 22.00 ppb, eCOtwo: 465.00 ppm, HCHO: 0.015 ppm, 0.89, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:53:34, Humidity: 68.21, Temp: 58.79, TVOC: 16.00 ppb, eCOtwo: 475.00 ppm, HCHO: 0.014 ppm, 0.89, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.88
2019-05-28 17:53:34, Humidity: 68.20, Temp: 58.81, TVOC: 21.00 ppb, eCOtwo: 443.00 ppm, HCHO: 0.013 ppm, 0.89, 0.22, 0.07, 0.25, 0.43, 0.18, 0.21, 4.92
2019-05-28 17:53:35, Humidity: 68.18, Temp: 58.79, TVOC: 13.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.013 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.19, 0.21, 4.88
2019-05-28 17:53:36, Humidity: 68.18, Temp: 58.77, TVOC: 12.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 5.00
2019-05-28 17:53:40, Humidity: 68.15, Temp: 58.75, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.011 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.84
2019-05-28 17:53:40, Humidity: 68.15, Temp: 58.75, TVOC: 3.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.011 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 5.00
2019-05-28 17:53:40, Humidity: 68.12, Temp: 58.73, TVOC: 1.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.010 ppm, 0.89, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.88
2019-05-28 17:53:41, Humidity: 68.12, Temp: 58.71, TVOC: 2.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.010 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:53:42, Humidity: 68.12, Temp: 58.69, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.010 ppm, 0.88, 0.22, 0.07, 0.25, 0.42, 0.18, 0.21, 4.91
