Mon:11:17:49,  0.48, 0.09, 0.30, 0.53, 0.17, 0.22, 4.93
Mon:11:18:39, Humidity: 46.28, Temp: 77.00, TVOC: 14.00 ppb, eCOtwo: 428.00 ppm, HCHO: 0.533 ppm, 1.51, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.88
Mon:11:18:40, Humidity: 46.30, Temp: 76.98, TVOC: 9.00 ppb, eCOtwo: 431.00 ppm, HCHO: 0.533 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.90
Mon:11:18:41, Humidity: 46.30, Temp: 76.96, TVOC: 10.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.533 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.17, 0.21, 4.93
Mon:11:18:45, Humidity: 46.30, Temp: 76.94, TVOC: 18.00 ppb, eCOtwo: 433.00 ppm, HCHO: 0.533 ppm, 1.51, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.93
Mon:11:18:45, Humidity: 46.30, Temp: 76.96, TVOC: 14.00 ppb, eCOtwo: 438.00 ppm, HCHO: 0.533 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.84
Mon:11:18:45, Humidity: 46.30, Temp: 76.96, TVOC: 15.00 ppb, eCOtwo: 435.00 ppm, HCHO: 0.535 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.88
Mon:11:18:46, Humidity: 46.33, Temp: 76.96, TVOC: 8.00 ppb, eCOtwo: 432.00 ppm, HCHO: 0.535 ppm, 1.50, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.88
Mon:11:18:47, Humidity: 46.33, Temp: 76.96, TVOC: 16.00 ppb, eCOtwo: 438.00 ppm, HCHO: 0.536 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.90
Mon:11:18:50, Humidity: 46.33, Temp: 76.96, TVOC: 17.00 ppb, eCOtwo: 436.00 ppm, HCHO: 0.536 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:18:50, Humidity: 46.33, Temp: 76.94, TVOC: 12.00 ppb, eCOtwo: 441.00 ppm, HCHO: 0.538 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.92
Mon:11:18:50, Humidity: 46.36, Temp: 76.98, TVOC: 14.00 ppb, eCOtwo: 434.00 ppm, HCHO: 0.539 ppm, 1.51, 0.48, 0.09, 0.30, 0.53, 0.16, 0.20, 4.92
Mon:11:18:51, Humidity: 46.34, Temp: 76.94, TVOC: 17.00 ppb, eCOtwo: 431.00 ppm, HCHO: 0.540 ppm, 1.52, 0.48, 0.09, 0.30, 0.52, 0.16, 0.21, 4.99
Mon:11:18:53, Humidity: 46.35, Temp: 77.00, TVOC: 22.00 ppb, eCOtwo: 436.00 ppm, HCHO: 0.542 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.88
Mon:11:18:55, Humidity: 46.36, Temp: 76.94, TVOC: 22.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.543 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.92
Mon:11:18:56, Humidity: 46.37, Temp: 76.96, TVOC: 14.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.545 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.90
