2019-06-03 18:06:59, Humidity: 31.96, Temp: 72.36, TVOC: 7.00 ppb, eCOtwo: 469.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 5.00
2019-06-03 18:07:00, Humidity: 31.98, Temp: 72.40, TVOC: 9.00 ppb, eCOtwo: 497.00 ppm, HCHO: 0.017 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:07:01, Humidity: 32.01, Temp: 72.38, TVOC: 13.00 ppb, eCOtwo: 510.00 ppm, HCHO: 0.016 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.84
2019-06-03 18:07:04, Humidity: 32.02, Temp: 72.36, TVOC: 9.00 ppb, eCOtwo: 513.00 ppm, HCHO: 0.014 ppm, 0.65, 0.22, 0.06, 0.21, 0.37, 0.16, 0.18, 4.89
2019-06-03 18:07:04, Humidity: 32.04, Temp: 72.40, TVOC: 18.00 ppb, eCOtwo: 525.00 ppm, HCHO: 0.013 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.92
2019-06-03 18:07:05, Humidity: 32.07, Temp: 72.46, TVOC: 20.00 ppb, eCOtwo: 527.00 ppm, HCHO: 0.012 ppm, 0.64, 0.22, 0.06, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:07:06, Humidity: 32.07, Temp: 72.44, TVOC: 18.00 ppb, eCOtwo: 529.00 ppm, HCHO: 0.011 ppm, 0.66, 0.22, 0.05, 0.20, 0.38, 0.16, 0.18, 4.88
2019-06-03 18:07:07, Humidity: 32.10, Temp: 72.44, TVOC: 25.00 ppb, eCOtwo: 526.00 ppm, HCHO: 0.010 ppm, 0.66, 0.23, 0.05, 0.21, 0.38, 0.16, 0.18, 4.90
2019-06-03 18:07:08, Humidity: 32.13, Temp: 72.46, TVOC: 29.00 ppb, eCOtwo: 531.00 ppm, HCHO: 0.009 ppm, 0.66, 0.23, 0.06, 0.21, 0.38, 0.16, 0.18, 4.91
2019-06-03 18:07:09, Humidity: 32.16, Temp: 72.44, TVOC: 22.00 ppb, eCOtwo: 531.00 ppm, HCHO: 0.008 ppm, 0.65, 0.23, 0.05, 0.20, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:07:10, Humidity: 32.17, Temp: 72.44, TVOC: 21.00 ppb, eCOtwo: 541.00 ppm, HCHO: 0.010 ppm, 0.66, 0.22, 0.06, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:07:11, Humidity: 32.23, Temp: 72.46, TVOC: 29.00 ppb, eCOtwo: 557.00 ppm, HCHO: 0.011 ppm, 0.66, 0.23, 0.05, 0.21, 0.38, 0.16, 0.18, 4.88
2019-06-03 18:07:12, Humidity: 32.24, Temp: 72.50, TVOC: 33.00 ppb, eCOtwo: 577.00 ppm, HCHO: 0.012 ppm, 0.66, 0.23, 0.05, 0.21, 0.37, 0.16, 0.18, 4.88
2019-06-03 18:07:15, Humidity: 32.28, Temp: 72.46, TVOC: 38.00 ppb, eCOtwo: 568.00 ppm, HCHO: 0.013 ppm, 0.66, 0.23, 0.05, 0.21, 0.37, 0.16, 0.18, 4.89
2019-06-03 18:07:15, Humidity: 32.32, Temp: 72.48, TVOC: 37.00 ppb, eCOtwo: 560.00 ppm, HCHO: 0.014 ppm, 0.66, 0.23, 0.05, 0.21, 0.38, 0.16, 0.18, 4.88
2019-06-03 18:07:15, Humidity: 32.36, Temp: 72.52, TVOC: 42.00 ppb, eCOtwo: 551.00 ppm, HCHO: 0.014 ppm, 0.66, 0.22, 0.05, 0.20, 0.38, 0.17, 0.18, 4.88
2019-06-03 18:07:17, Humidity: 32.39, Temp: 72.50, TVOC: 40.00 ppb, eCOtwo: 533.00 ppm, HCHO: 0.014 ppm, 0.64, 0.23, 0.05, 0.21, 0.38, 0.16, 0.18, 4.90
2019-06-03 18:07:18, Humidity: 32.40, Temp: 72.48, TVOC: 41.00 ppb, eCOtwo: 521.00 ppm, HCHO: 0.014 ppm, 0.66, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.91
2019-06-03 18:07:19, Humidity: 32.43, Temp: 72.46, TVOC: 33.00 ppb, eCOtwo: 511.00 ppm, HCHO: 0.013 ppm, 0.65, 0.22, 0.06, 0.21, 0.37, 0.16, 0.18, 4.84
2019-06-03 18:07:20, Humidity: 32.43, Temp: 72.46, TVOC: 37.00 ppb, eCOtwo: 520.00 ppm, HCHO: 0.012 ppm, 0.66, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.88
2019-06-03 18:07:21, Humidity: 32.46, Temp: 72.48, TVOC: 39.00 ppb, eCOtwo: 511.00 ppm, HCHO: 0.011 ppm, 0.66, 0.22, 0.05, 0.21, 0.37, 0.17, 0.18, 4.88
2019-06-03 18:07:22, Humidity: 32.46, Temp: 72.52, TVOC: 38.00 ppb, eCOtwo: 515.00 ppm, HCHO: 0.010 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:07:23, Humidity: 32.48, Temp: 72.52, TVOC: 36.00 ppb, eCOtwo: 502.00 ppm, HCHO: 0.008 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.17, 0.18, 4.84
2019-06-03 18:07:26, Humidity: 32.48, Temp: 72.54, TVOC: 40.00 ppb, eCOtwo: 506.00 ppm, HCHO: 0.009 ppm, 0.65, 0.23, 0.05, 0.21, 0.38, 0.16, 0.18, 4.97
2019-06-03 18:07:26, Humidity: 32.48, Temp: 72.52, TVOC: 33.00 ppb, eCOtwo: 474.00 ppm, HCHO: 0.009 ppm, 0.65, 0.23, 0.05, 0.20, 0.37, 0.17, 0.18, 4.88
2019-06-03 18:07:26, Humidity: 32.46, Temp: 72.50, TVOC: 31.00 ppb, eCOtwo: 464.00 ppm, HCHO: 0.010 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.96
2019-06-03 18:07:28, Humidity: 32.42, Temp: 72.48, TVOC: 33.00 ppb, eCOtwo: 445.00 ppm, HCHO: 0.010 ppm, 0.65, 0.23, 0.06, 0.21, 0.38, 0.16, 0.18, 4.92
2019-06-03 18:07:29, Humidity: 32.37, Temp: 72.46, TVOC: 25.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.010 ppm, 0.65, 0.22, 0.05, 0.20, 0.38, 0.16, 0.18, 4.88
2019-06-03 18:07:30, Humidity: 32.32, Temp: 72.46, TVOC: 21.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.010 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.86
2019-06-03 18:07:31, Humidity: 32.27, Temp: 72.44, TVOC: 17.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.011 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.88
2019-06-03 18:07:32, Humidity: 32.24, Temp: 72.42, TVOC: 18.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.84
2019-06-03 18:07:33, Humidity: 32.18, Temp: 72.42, TVOC: 14.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.013 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:07:34, Humidity: 32.13, Temp: 72.40, TVOC: 12.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.014 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.92
2019-06-03 18:07:37, Humidity: 32.09, Temp: 72.38, TVOC: 6.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.015 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.90
2019-06-03 18:07:37, Humidity: 32.05, Temp: 72.36, TVOC: 1.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.016 ppm, 0.64, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.90
2019-06-03 18:07:38, Humidity: 32.00, Temp: 72.38, TVOC: 3.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.016 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.91
2019-06-03 18:07:39, Humidity: 31.97, Temp: 72.38, TVOC: 3.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.017 ppm, 0.65, 0.22, 0.05, 0.20, 0.38, 0.16, 0.18, 4.90
2019-06-03 18:07:40, Humidity: 31.92, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.84
2019-06-03 18:07:41, Humidity: 31.89, Temp: 72.40, TVOC: 1.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:07:42, Humidity: 31.88, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.06, 0.21, 0.38, 0.16, 0.18, 4.91
2019-06-03 18:07:43, Humidity: 31.85, Temp: 72.36, TVOC: 9.00 ppb, eCOtwo: 416.00 ppm, HCHO: 0.017 ppm, 0.65, 0.22, 0.05, 0.20, 0.38, 0.16, 0.18, 4.84
2019-06-03 18:07:44, Humidity: 31.82, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.016 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:07:45, Humidity: 31.81, Temp: 72.34, TVOC: 5.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.015 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.90
2019-06-03 18:07:49, Humidity: 31.78, Temp: 72.32, TVOC: 3.00 ppb, eCOtwo: 419.00 ppm, HCHO: 0.014 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.90
2019-06-03 18:07:49, Humidity: 31.79, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 428.00 ppm, HCHO: 0.013 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:07:49, Humidity: 31.78, Temp: 72.34, TVOC: 1.00 ppb, eCOtwo: 439.00 ppm, HCHO: 0.013 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.86
2019-06-03 18:07:50, Humidity: 31.77, Temp: 72.34, TVOC: 4.00 ppb, eCOtwo: 446.00 ppm, HCHO: 0.012 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.89
