2019-07-28 10:39:56, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:39:57, setup done
2019-07-28 10:41:11, Humidity: 74.17, Temp: 78.93, TVOC: 5.00 ppb, eCOtwo: 428.00 ppm, HCHO: 0.054 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:13, Humidity: 74.13, Temp: 78.91, TVOC: 0.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.054 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:15, Humidity: 74.10, Temp: 78.96, TVOC: 0.00 ppb, eCOtwo: 430.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:15, Humidity: 74.09, Temp: 78.96, TVOC: 0.00 ppb, eCOtwo: 436.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:16, Humidity: 74.07, Temp: 78.95, TVOC: 3.00 ppb, eCOtwo: 425.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:17, Humidity: 74.01, Temp: 79.00, TVOC: 0.00 ppb, eCOtwo: 427.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:18, Humidity: 73.98, Temp: 78.96, TVOC: 0.00 ppb, eCOtwo: 416.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:19, Humidity: 73.94, Temp: 79.00, TVOC: 4.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:20, Humidity: 73.93, Temp: 79.02, TVOC: 0.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:21, Humidity: 73.91, Temp: 79.02, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:23, Humidity: 73.93, Temp: 79.06, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:24, Humidity: 73.93, Temp: 79.10, TVOC: 3.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:26, Humidity: 73.96, Temp: 79.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:27, Humidity: 73.98, Temp: 79.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:27, Humidity: 74.00, Temp: 79.10, TVOC: 2.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:28, Humidity: 74.02, Temp: 79.14, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:29, Humidity: 74.04, Temp: 79.10, TVOC: 0.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:30, Humidity: 74.05, Temp: 79.14, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:31, Humidity: 74.07, Temp: 79.16, TVOC: 0.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:32, Humidity: 74.10, Temp: 79.16, TVOC: 3.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:34, Humidity: 74.07, Temp: 79.20, TVOC: 7.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:35, Humidity: 74.11, Temp: 79.16, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:38, Humidity: 74.12, Temp: 79.20, TVOC: 0.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:38, Humidity: 74.12, Temp: 79.22, TVOC: 15.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:38, Humidity: 74.14, Temp: 79.25, TVOC: 2.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.053 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:39, Humidity: 74.13, Temp: 79.27, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:40, Humidity: 74.12, Temp: 79.25, TVOC: 4.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.052 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:41, Humidity: 74.11, Temp: 79.27, TVOC: 8.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.051 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:42, Humidity: 74.08, Temp: 79.27, TVOC: 8.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.051 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:43, Humidity: 74.08, Temp: 79.29, TVOC: 6.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.051 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:45, Humidity: 74.08, Temp: 79.31, TVOC: 4.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.051 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:46, Humidity: 74.05, Temp: 79.31, TVOC: 0.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.050 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:48, Humidity: 74.08, Temp: 79.35, TVOC: 1.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.050 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:49, Humidity: 74.10, Temp: 79.37, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.050 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:49, Humidity: 74.09, Temp: 79.41, TVOC: 4.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.050 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:50, Humidity: 74.10, Temp: 79.43, TVOC: 1.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:51, Humidity: 74.09, Temp: 79.39, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:52, Humidity: 74.10, Temp: 79.43, TVOC: 0.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:53, Humidity: 74.10, Temp: 79.45, TVOC: 0.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:55, Humidity: 74.13, Temp: 79.49, TVOC: 0.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:56, Humidity: 74.12, Temp: 79.49, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:57, Humidity: 74.13, Temp: 79.52, TVOC: 0.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:00, Humidity: 74.13, Temp: 79.51, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:00, Humidity: 74.11, Temp: 79.52, TVOC: 0.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:00, Humidity: 74.10, Temp: 79.54, TVOC: 0.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:01, Humidity: 74.08, Temp: 79.54, TVOC: 3.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:02, Humidity: 74.05, Temp: 79.58, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:03, Humidity: 74.04, Temp: 79.58, TVOC: 1.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:04, Humidity: 73.99, Temp: 79.58, TVOC: 2.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:06, Humidity: 73.94, Temp: 79.62, TVOC: 0.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.049 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:07, Humidity: 73.91, Temp: 79.64, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.048 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:42:08, Humidity: 73.86, Temp: 79.66, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.048 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
