Tue:22:16:06, eCOtwo: 552.00 ppm	HCHO: 0.014 ppm
Tue:22:16:06, 31.00 ppb	eCOtwo: 555.00 ppm	HCHO: 0.013 ppm
Tue:22:17:07, 	Humidity: 40.48	Temp: 77.01	TVOC: 11.00 ppb	eCOtwo: 427.00 ppm	HCHO: 0.017 ppm
Tue:22:17:08, 	Humidity: 40.51	Temp: 77.01	TVOC: 13.00 ppb	eCOtwo: 429.00 ppm	HCHO: 0.017 ppm
Tue:22:17:09, 	Humidity: 40.50	Temp: 76.98	TVOC: 12.00 ppb	eCOtwo: 431.00 ppm	HCHO: 0.016 ppm
Tue:22:17:10, 	Humidity: 40.52	Temp: 76.92	TVOC: 16.00 ppb	eCOtwo: 424.00 ppm	HCHO: 0.016 ppm
Tue:22:17:11, 	Humidity: 40.54	Temp: 76.98	TVOC: 26.00 ppb	eCOtwo: 429.00 ppm	HCHO: 0.016 ppm
Tue:22:17:12, 	Humidity: 40.54	Temp: 76.98	TVOC: 23.00 ppb	eCOtwo: 430.00 ppm	HCHO: 0.016 ppm
Tue:22:17:13, 	Humidity: 40.55	Temp: 76.96	TVOC: 17.00 ppb	eCOtwo: 429.00 ppm	HCHO: 0.016 ppm
Tue:22:17:14, 	Humidity: 40.60	Temp: 76.96	TVOC: 16.00 ppb	eCOtwo: 434.00 ppm	HCHO: 0.015 ppm
Tue:22:17:16, 	Humidity: 40.60	Temp: 76.96	TVOC: 13.00 ppb	eCOtwo: 416.00 ppm	HCHO: 0.015 ppm
Tue:22:17:17, 	Humidity: 40.63	Temp: 76.98	TVOC: 17.00 ppb	eCOtwo: 420.00 ppm	HCHO: 0.015 ppm
Tue:22:17:18, 	Humidity: 40.66	Temp: 76.94	TVOC: 15.00 ppb	eCOtwo: 425.00 ppm	HCHO: 0.014 ppm
Tue:22:17:19, 	Humidity: 40.67	Temp: 76.96	TVOC: 15.00 ppb	eCOtwo: 416.00 ppm	HCHO: 0.014 ppm
Tue:22:17:20, 	Humidity: 40.67	Temp: 76.96	TVOC: 19.00 ppb	eCOtwo: 425.00 ppm	HCHO: 0.014 ppm
Tue:22:17:21, 	Humidity: 40.67	Temp: 77.01	TVOC: 17.00 ppb	eCOtwo: 410.00 ppm	HCHO: 0.013 ppm
Tue:22:17:22, 	Humidity: 40.68	Temp: 77.01	TVOC: 13.00 ppb	eCOtwo: 414.00 ppm	HCHO: 0.013 ppm
Tue:22:17:23, 	Humidity: 40.67	Temp: 77.07	TVOC: 15.00 ppb	eCOtwo: 411.00 ppm	HCHO: 0.012 ppm
Tue:22:17:24, 	Humidity: 40.66	Temp: 77.09	TVOC: 16.00 ppb	eCOtwo: 418.00 ppm	HCHO: 0.012 ppm
Tue:22:17:25, 	Humidity: 40.66	Temp: 77.09	TVOC: 19.00 ppb	eCOtwo: 416.00 ppm	HCHO: 0.011 ppm
Tue:22:17:27, 	Humidity: 40.65	Temp: 77.11	TVOC: 15.00 ppb	eCOtwo: 422.00 ppm	HCHO: 0.011 ppm
Tue:22:17:28, 	Humidity: 40.63	Temp: 77.09	TVOC: 14.00 ppb	eCOtwo: 417.00 ppm	HCHO: 0.011 ppm
Tue:22:17:29, 	Humidity: 40.62	Temp: 77.11	TVOC: 7.00 ppb	eCOtwo: 410.00 ppm	HCHO: 0.011 ppm
Tue:22:17:30, 	Humidity: 40.59	Temp: 77.11	TVOC: 19.00 ppb	eCOtwo: 413.00 ppm	HCHO: 0.011 ppm
Tue:22:17:31, 	Humidity: 40.57	Temp: 77.15	TVOC: 21.00 ppb	eCOtwo: 417.00 ppm	HCHO: 0.011 ppm
Tue:22:17:32, 	Humidity: 40.55	Temp: 77.19	TVOC: 13.00 ppb	eCOtwo: 401.00 ppm	HCHO: 0.011 ppm
Tue:22:17:33, 	Humidity: 40.52	Temp: 77.17	TVOC: 16.00 ppb	eCOtwo: 406.00 ppm	HCHO: 0.011 ppm
Tue:22:17:34, 	Humidity: 40.48	Temp: 77.19	TVOC: 19.00 ppb	eCOtwo: 407.00 ppm	HCHO: 0.011 ppm
Tue:22:17:35, 	Humidity: 40.46	Temp: 77.17	TVOC: 14.00 ppb	eCOtwo: 415.00 ppm	HCHO: 0.011 ppm
Tue:22:17:37, 	Humidity: 40.45	Temp: 77.15	TVOC: 19.00 ppb	eCOtwo: 420.00 ppm	HCHO: 0.011 ppm
Tue:22:17:38, 	Humidity: 40.45	Temp: 77.13	TVOC: 15.00 ppb	eCOtwo: 416.00 ppm	HCHO: 0.011 ppm
Tue:22:17:39, 	Humidity: 40.45	Temp: 77.07	TVOC: 21.00 ppb	eCOtwo: 427.00 ppm	HCHO: 0.011 ppm
Tue:22:17:40, 	Humidity: 40.44	Temp: 77.11	TVOC: 18.00 ppb	eCOtwo: 410.00 ppm	HCHO: 0.011 ppm
Tue:22:17:41, 	Humidity: 40.44	Temp: 77.11	TVOC: 10.00 ppb	eCOtwo: 414.00 ppm	HCHO: 0.011 ppm
Tue:22:17:42, 	Humidity: 40.45	Temp: 77.11	TVOC: 18.00 ppb	eCOtwo: 423.00 ppm	HCHO: 0.011 ppm
Tue:22:17:43, 	Humidity: 40.46	Temp: 77.11	TVOC: 18.00 ppb	eCOtwo: 417.00 ppm	HCHO: 0.011 ppm
Tue:22:17:44, 	Humidity: 40.47	Temp: 77.07	TVOC: 14.00 ppb	eCOtwo: 404.00 ppm	HCHO: 0.011 ppm
Tue:22:17:45, 	Humidity: 40.48	Temp: 77.05	TVOC: 10.00 ppb	eCOtwo: 400.00 ppm	HCHO: 0.011 ppm
Tue:22:17:46, 	Humidity: 40.49	Temp: 77.07	TVOC: 20.00 ppb	eCOtwo: 406.00 ppm	HCHO: 0.011 ppm
Tue:22:17:48, 	Humidity: 40.51	Temp: 77.05	TVOC: 12.00 ppb	eCOtwo: 400.00 ppm	HCHO: 0.011 ppm
Tue:22:17:49, 	Humidity: 40.51	Temp: 77.07	TVOC: 15.00 ppb	eCOtwo: 409.00 ppm	HCHO: 0.011 ppm
Tue:22:17:50, 	Humidity: 40.53	Temp: 77.01	TVOC: 17.00 ppb	eCOtwo: 426.00 ppm	HCHO: 0.011 ppm
Tue:22:17:51, 	Humidity: 40.57	Temp: 77.07	TVOC: 16.00 ppb	eCOtwo: 424.00 ppm	HCHO: 0.011 ppm
Tue:22:17:52, 	Humidity: 40.59	Temp: 77.03	TVOC: 19.00 ppb	eCOtwo: 415.00 ppm	HCHO: 0.011 ppm
