2019-05-29 18:56:46, Humidity: 61.90, Temp: 59.12, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.015 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.18, 4.88
2019-05-29 18:56:47, Humidity: 61.93, Temp: 59.16, TVOC: 6.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.015 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:56:48, Humidity: 61.91, Temp: 59.18, TVOC: 1.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.015 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 5.00
2019-05-29 18:56:49, Humidity: 61.91, Temp: 59.16, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.015 ppm, 0.76, 0.22, 0.06, 0.23, 0.41, 0.17, 0.19, 4.91
2019-05-29 18:56:52, Humidity: 61.90, Temp: 59.16, TVOC: 11.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:56:52, Humidity: 61.91, Temp: 59.18, TVOC: 1.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:56:52, Humidity: 61.89, Temp: 59.16, TVOC: 0.00 ppb, eCOtwo: 418.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.92
2019-05-29 18:56:53, Humidity: 61.90, Temp: 59.20, TVOC: 7.00 ppb, eCOtwo: 419.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:56:55, Humidity: 61.90, Temp: 59.16, TVOC: 0.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:56:57, Humidity: 61.91, Temp: 59.20, TVOC: 6.00 ppb, eCOtwo: 425.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.23, 0.40, 0.17, 0.19, 4.90
2019-05-29 18:56:57, Humidity: 61.91, Temp: 59.16, TVOC: 2.00 ppb, eCOtwo: 431.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.16, 0.19, 4.90
2019-05-29 18:56:58, Humidity: 61.90, Temp: 59.16, TVOC: 11.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.16, 0.19, 4.90
2019-05-29 18:56:59, Humidity: 61.90, Temp: 59.18, TVOC: 8.00 ppb, eCOtwo: 423.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:57:00, Humidity: 61.89, Temp: 59.20, TVOC: 1.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.06, 0.23, 0.40, 0.17, 0.19, 4.90
2019-05-29 18:57:02, Humidity: 61.87, Temp: 59.18, TVOC: 4.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.017 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.16, 0.19, 4.91
2019-05-29 18:57:02, Humidity: 61.87, Temp: 59.16, TVOC: 2.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.017 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.16, 0.19, 4.91
2019-05-29 18:57:03, Humidity: 61.87, Temp: 59.16, TVOC: 10.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.06, 0.23, 0.40, 0.17, 0.19, 4.90
2019-05-29 18:57:04, Humidity: 61.87, Temp: 59.18, TVOC: 6.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:06, Humidity: 61.86, Temp: 59.16, TVOC: 2.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.18, 4.91
2019-05-29 18:57:08, Humidity: 61.86, Temp: 59.16, TVOC: 8.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.90
2019-05-29 18:57:08, Humidity: 61.86, Temp: 59.16, TVOC: 6.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.92
2019-05-29 18:57:09, Humidity: 61.84, Temp: 59.14, TVOC: 2.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:57:10, Humidity: 61.83, Temp: 59.16, TVOC: 9.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.95
2019-05-29 18:57:11, Humidity: 61.84, Temp: 59.14, TVOC: 7.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.016 ppm, 0.77, 0.23, 0.07, 0.22, 0.40, 0.16, 0.19, 5.00
2019-05-29 18:57:14, Humidity: 61.84, Temp: 59.14, TVOC: 7.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.41, 0.17, 0.19, 5.00
2019-05-29 18:57:14, Humidity: 61.81, Temp: 59.12, TVOC: 9.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:57:14, Humidity: 61.81, Temp: 59.08, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.99
2019-05-29 18:57:15, Humidity: 61.80, Temp: 59.08, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.40, 0.17, 0.19, 4.90
2019-05-29 18:57:17, Humidity: 61.81, Temp: 59.12, TVOC: 9.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.92
2019-05-29 18:57:19, Humidity: 61.78, Temp: 59.04, TVOC: 1.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:57:19, Humidity: 61.79, Temp: 59.08, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.41, 0.17, 0.18, 5.00
2019-05-29 18:57:20, Humidity: 61.76, Temp: 59.06, TVOC: 9.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.016 ppm, 0.77, 0.23, 0.06, 0.22, 0.40, 0.17, 0.19, 4.90
2019-05-29 18:57:21, Humidity: 61.78, Temp: 59.04, TVOC: 11.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:22, Humidity: 61.76, Temp: 59.00, TVOC: 12.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.16, 0.19, 4.92
2019-05-29 18:57:25, Humidity: 61.77, Temp: 59.00, TVOC: 3.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.39, 0.17, 0.19, 4.87
2019-05-29 18:57:25, Humidity: 61.78, Temp: 59.06, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.06, 0.22, 0.40, 0.17, 0.19, 5.00
2019-05-29 18:57:25, Humidity: 61.80, Temp: 59.02, TVOC: 3.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:26, Humidity: 61.78, Temp: 59.04, TVOC: 0.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:28, Humidity: 61.80, Temp: 58.96, TVOC: 8.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:57:30, Humidity: 61.81, Temp: 58.98, TVOC: 6.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.06, 0.23, 0.41, 0.17, 0.19, 4.90
2019-05-29 18:57:30, Humidity: 61.81, Temp: 59.02, TVOC: 13.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.18, 4.90
2019-05-29 18:57:31, Humidity: 61.81, Temp: 59.02, TVOC: 8.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.41, 0.16, 0.19, 4.94
2019-05-29 18:57:32, Humidity: 61.82, Temp: 58.96, TVOC: 6.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.016 ppm, 0.77, 0.23, 0.06, 0.23, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:33, Humidity: 61.81, Temp: 58.98, TVOC: 18.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.40, 0.17, 0.19, 4.90
2019-05-29 18:57:36, Humidity: 61.83, Temp: 59.02, TVOC: 2.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:57:36, Humidity: 61.84, Temp: 59.06, TVOC: 7.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.23, 0.40, 0.16, 0.19, 4.91
2019-05-29 18:57:36, Humidity: 61.84, Temp: 59.02, TVOC: 4.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:57:37, Humidity: 61.84, Temp: 59.02, TVOC: 4.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:39, Humidity: 61.84, Temp: 59.00, TVOC: 9.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.06, 0.22, 0.41, 0.17, 0.19, 4.94
2019-05-29 18:57:41, Humidity: 61.84, Temp: 59.02, TVOC: 6.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:57:42, Humidity: 61.86, Temp: 59.02, TVOC: 5.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:57:42, Humidity: 61.86, Temp: 59.00, TVOC: 11.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:43, Humidity: 61.86, Temp: 59.06, TVOC: 7.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.92
2019-05-29 18:57:44, Humidity: 61.84, Temp: 59.04, TVOC: 0.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:47, Humidity: 61.86, Temp: 59.06, TVOC: 7.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:47, Humidity: 61.87, Temp: 59.04, TVOC: 7.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.97
2019-05-29 18:57:47, Humidity: 61.87, Temp: 59.04, TVOC: 6.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:57:49, Humidity: 61.88, Temp: 59.06, TVOC: 3.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.92
2019-05-29 18:57:50, Humidity: 61.88, Temp: 59.08, TVOC: 8.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.95
2019-05-29 18:57:52, Humidity: 61.88, Temp: 59.08, TVOC: 6.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:52, Humidity: 61.90, Temp: 59.10, TVOC: 12.00 ppb, eCOtwo: 419.00 ppm, HCHO: 0.017 ppm, 0.76, 0.22, 0.06, 0.23, 0.41, 0.17, 0.19, 4.91
2019-05-29 18:57:53, Humidity: 61.90, Temp: 59.08, TVOC: 9.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.82
2019-05-29 18:57:54, Humidity: 61.88, Temp: 59.08, TVOC: 14.00 ppb, eCOtwo: 425.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.82
2019-05-29 18:57:55, Humidity: 61.88, Temp: 59.10, TVOC: 1.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:57:58, Humidity: 61.91, Temp: 59.02, TVOC: 3.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.017 ppm, 0.77, 0.22, 0.06, 0.22, 0.39, 0.17, 0.19, 4.92
