Sun:23:09:21, 	Humidity: 37.35	Temp: 69.83	TVOC: 3.00 ppb	eCOtwo: 420.00 ppm	HCHO: 0.021 ppm
Sun:23:09:22, 	Humidity: 37.36	Temp: 69.81	TVOC: 0.00 ppb	eCOtwo: 416.00 ppm	HCHO: 0.021 ppm
Sun:23:09:24, 	Humidity: 37.36	Temp: 69.85	TVOC: 0.00 ppb	eCOtwo: 420.00 ppm	HCHO: 0.020 ppm
Sun:23:09:25, 	Humidity: 37.36	Temp: 69.83	TVOC: 0.00 ppb	eCOtwo: 410.00 ppm	HCHO: 0.020 ppm
Sun:23:09:26, 	Humidity: 37.38	Temp: 69.79	TVOC: 3.00 ppb	eCOtwo: 421.00 ppm	HCHO: 0.020 ppm
Sun:23:09:27, 	Humidity: 37.38	Temp: 69.83	TVOC: 4.00 ppb	eCOtwo: 428.00 ppm	HCHO: 0.020 ppm
Sun:23:09:28, 	Humidity: 37.38	Temp: 69.83	TVOC: 2.00 ppb	eCOtwo: 420.00 ppm	HCHO: 0.020 ppm
Sun:23:09:29, 	Humidity: 37.38	Temp: 69.81	TVOC: 0.00 ppb	eCOtwo: 426.00 ppm	HCHO: 0.019 ppm
Sun:23:09:30, 	Humidity: 37.38	Temp: 69.78	TVOC: 2.00 ppb	eCOtwo: 428.00 ppm	HCHO: 0.019 ppm
Sun:23:09:31, 	Humidity: 37.41	Temp: 69.79	TVOC: 0.00 ppb	eCOtwo: 436.00 ppm	HCHO: 0.019 ppm
Sun:23:09:32, 	Humidity: 37.40	Temp: 69.78	TVOC: 0.00 ppb	eCOtwo: 433.00 ppm	HCHO: 0.019 ppm
Sun:23:09:33, 	Humidity: 37.41	Temp: 69.78	TVOC: 7.00 ppb	eCOtwo: 435.00 ppm	HCHO: 0.020 ppm
Sun:23:09:35, 	Humidity: 37.40	Temp: 69.72	TVOC: 0.00 ppb	eCOtwo: 444.00 ppm	HCHO: 0.020 ppm
Sun:23:09:36, 	Humidity: 37.41	Temp: 69.78	TVOC: 0.00 ppb	eCOtwo: 436.00 ppm	HCHO: 0.020 ppm
Sun:23:09:37, 	Humidity: 37.42	Temp: 69.78	TVOC: 0.00 ppb	eCOtwo: 443.00 ppm	HCHO: 0.020 ppm
Sun:23:09:38, 	Humidity: 37.42	Temp: 69.78	TVOC: 8.00 ppb	eCOtwo: 433.00 ppm	HCHO: 0.020 ppm
Sun:23:09:39, 	Humidity: 37.43	Temp: 69.76	TVOC: 4.00 ppb	eCOtwo: 428.00 ppm	HCHO: 0.020 ppm
Sun:23:09:40, 	Humidity: 37.43	Temp: 69.72	TVOC: 12.00 ppb	eCOtwo: 436.00 ppm	HCHO: 0.020 ppm
Sun:23:09:41, 	Humidity: 37.42	Temp: 69.74	TVOC: 0.00 ppb	eCOtwo: 433.00 ppm	HCHO: 0.020 ppm
